device_id,device_type
a7e2002f-44db-4108-a7b4-88aee158946a,Mac
646554b4-776e-42df-a672-3d0116ec0539,Android
ee24d730-0d37-406e-9b46-d4fe1c5aa883,Android
5e7b09c0-774b-426d-ac11-e3d7fd395204,iPhone
77a003da-9f9e-4206-b01e-ed48e7554f99,Mac
8cfed4ce-1d4a-4c2c-8339-e5684b653ac3,Android
79b5f0ed-79f3-415b-81b8-589e529fbc33,iPhone
03d17aab-a427-4303-a366-c6631363bdd5,iPhone
a32bbeea-6367-42ca-ba05-5ff8a86429e3,Android
3e56c74b-0821-46a0-ae97-72612f67d1d3,iPhone
92d29e7c-69e3-4299-ba1a-51ef4f203eb1,iPhone
a56de7ad-0458-4a48-92a2-b635d261d551,Android
fbe92e22-2c5c-4c79-b184-765a27d1dd1c,Mac
51eb4729-bfd9-4839-b73d-72cb7ba076d0,Mac
d199ed89-6f9c-4753-9aea-23c2778f7a68,Mac
593eb1cb-ad33-49cd-a44c-2c7f6e235a01,iPhone
c5b5cd4d-cd82-417c-976e-8229059f1e19,Android
4c0ac257-f049-48f7-8293-306db7060f6e,Android
5792e6aa-51f8-4aee-af39-d42f4f559721,Android
d6cb7960-5923-41eb-9218-d3abef6bba5e,Android
fbcd3739-a9d8-489f-a129-bade582f943e,Android
87139775-50d0-4617-9e6a-fdcab78a6ef5,Mac
c04c7162-c395-4f97-b0ad-9ea9b876d3a6,Mac
213eb7b8-2d5d-4b71-b021-0f5c191ff51d,Android
bc3ae2e3-9bca-4004-9e19-1a63ea77b9ee,iPhone
8fcdd5ff-7f0c-44c3-be0c-bd53dbb67bf9,iPhone
76ca6f6c-95bd-4005-8a73-4db0a5d8462f,Android
ca40b1af-704e-40b2-b17c-16544bdc18fc,Android
15a7271e-1881-4bae-a94f-fd0c2d1a8e36,Android
5c0a2f0d-6570-4d45-90b9-69a36982a5ac,Mac
14e50eb6-8dff-4101-ba72-cf15f9c64477,iPhone
26e6281d-068e-478d-96c2-26d7572a2758,Windows
04148d06-975f-4d81-b7a9-13e0eae6f61e,Mac
a2d9ca38-1f05-4fa8-a28f-81553b88e072,iPhone
b50ed05d-322a-46df-9db7-cf9cb68b584d,iPhone
e6363ec1-1f2d-4dab-a2f4-9db93f57fbf9,iPhone
8de87caf-5187-4329-80af-c4df084ee0a1,Android
a9608eab-c810-4831-98b2-683523d17b01,Windows
6d0951ba-4caf-4bdb-9f22-dec83e741775,iPhone
f4af3cfe-1aeb-456d-8e3a-6cb0472a5cef,Mac
23ee4f6a-1cbe-4f81-8198-0ea86d3eeb03,Mac
e6afb3bf-c62c-450a-b67f-58d17814b5a4,Windows
d2857e62-c510-4404-837b-2d9ff9f30e4f,iPhone
879efa75-faec-4f63-858f-bf49db54e367,Android
38ede738-12ed-442c-bf30-829c874bf515,iPhone
95ab5336-eade-4c9b-8aae-8775c8723862,Mac
fab13580-172f-4161-bddb-abf1c86647ff,Windows
7b6153d4-5682-4c45-931f-6d42e758c603,Android
674f6515-7cdf-44ee-82d5-92fb6d4b0a02,iPhone
ed980db3-774b-4a97-a20a-f340acd51755,Windows
117d663c-301f-4902-ade5-599221b99fb2,iPhone
e2ead195-1dba-4522-a667-85165c31c24d,Android
3b8a1c1b-6674-42a5-aa86-83559ef191dc,Android
20728432-6d93-4c12-aa41-c37a4407e97f,Windows
f9294d45-8441-4245-be34-bfa145853c50,Android
3d1ea118-0a03-4aeb-b441-12d346b0a650,Mac
3f7c679e-ed33-4a5f-be4c-90932b4a0c59,iPhone
e995c7ed-8062-4051-9ff0-8ef11b0d29b1,Windows
bd4c9c52-8a2f-4979-b770-01d706e25e34,Android
b67e1ad4-3a60-4a83-a147-dc9edeb479b7,Windows
1f85b4a0-23a8-48dc-901a-5743d06990b9,iPhone
1ded1765-6c7b-4d3f-9cfa-2abf1cd7515d,iPhone
855e98d2-23ee-4a1c-b5d6-d3ec4e484be4,Windows
10dada49-44df-4fb0-ad92-c21503fbd220,Mac
8da086d4-4e6b-4542-acda-287ac445934b,iPhone
2da37a40-6a3a-4028-bf23-6926af485332,Android
59dcd05c-6350-4c29-a800-e8f9041a4d15,iPhone
17a762cd-0535-45f5-99dd-66bacc938888,Windows
3b78e779-604e-4ae3-b622-6d2dd2195de8,Windows
302e2961-4644-49be-bbc5-7490053871b0,Mac
3906b401-4631-4aae-bfe2-caadfcbbb44e,Android
e8a2fba9-0c90-44e0-9def-1ab6265ac6ef,Android
f19be3bd-7b46-48a4-8484-d9340be49a3a,iPhone
aa00f964-178b-4433-bd6d-dd92ed589e01,Windows
59ff3df2-0083-47db-9e15-d6d7825b8fb7,iPhone
aee4dcaa-ab7c-4e31-b519-6fb0fb5a9b3c,Mac
18f30df3-83f5-4c37-b6f7-7152c88c09c7,Android
8d111437-5a55-4c87-94bd-3fc05d3e6f18,Android
26c73cae-7d90-4b07-ada0-540843fccc19,iPhone
4f3a69f5-a2bf-4be1-9109-6cd87ad8ef11,Mac
04675d89-02b5-4e48-a1a4-06a430ab6d11,Android
8e92cb13-1bdd-4508-a458-254d05e1f889,iPhone
86d0f01b-cfa6-434a-8c3d-a98899dfc174,Windows
920ab137-f5db-48ca-8b90-c0b591eda0c4,iPhone
c14f61bc-c38f-44cb-9961-a948e94be545,Mac
72da9e01-b116-4f70-a83a-cb076b652d0d,Windows
80406b04-23fd-4523-b869-94fd3dad4e13,Windows
898b84f4-5270-4a74-b5eb-154735da3be9,Windows
e3269938-82f3-4262-b146-b1f9074e1c7c,Mac
fdfe2740-0a7e-4338-a5fc-655474d50dbf,Windows
3bd1bb56-2013-4a8e-bf73-e4d8d2492391,iPhone
1905a9e8-a53c-4d71-8a3f-d073c03f3328,iPhone
14eadffc-1ad5-460a-9e64-1531a4b14815,Android
5309891c-128d-4f4b-ba9e-daf6cded98b7,Windows
e40c8467-65bc-4c1e-aa7d-92adccaed2da,Android
db110110-0367-46c4-9aac-9798f81d98ab,iPhone
448be68c-1e3c-4873-8d4b-12051d141697,Android
23f1d500-3e80-488e-9977-5bf4a4b52810,iPhone
6bf48bbd-d71e-4506-a133-915eed7adc65,Mac
af3f26cf-3b24-4ce6-ad63-12fe67d495a2,Android
fada037e-66af-4bd1-a180-8b813c032ba4,Mac
