offer_id,code,type,is_stackable,max_discount
3c5060ab-4058-43c0-b109-f907b83b8857,WELCOME50,discount,False,500
ee309bbb-2f9e-4190-a02a-4978e53cf8a8,FESTIVE20,discount,False,200
b347b26b-a019-4f79-8f00-e64c8da3fd5b,FREESHIP,shipping,True,100
c1fa944f-2fc3-49ea-b2c2-c3eea392f858,REFDOUBLE,discount,False,1000
384f5392-0283-4579-b423-defb251ae4b1,CASHBACK10,cashback,False,150
a3269dd6-ad99-45eb-ba88-7988033ca388,WINTERSALE,discount,False,300
9f3d3472-e2f4-4855-9183-525661c839d1,SUMMER30,discount,False,300
eaf0a781-fe0e-41f5-96f7-a5c671efa89a,FLASH,discount,False,400
0e8ace88-c8e7-4582-b3d3-1a0a133dd308,VIP,discount,False,800
59e7be95-4f3c-48ba-aa32-888fe208c5be,NEWYEAR,discount,False,600
